	EmployerName	Address	CompanyNumber	SicCodes	DiffMeanHourlyPercent	DiffMedianHourlyPercent	DiffMeanBonusPercent	DiffMedianBonusPercent	MaleBonusPercent	FemaleBonusPercent	MaleLowerQuartile	FemaleLowerQuartile	MaleLowerMiddleQuartile	FemaleLowerMiddleQuartile	MaleUpperMiddleQuartile	FemaleUpperMiddleQuartile	MaleTopQuartile	FemaleTopQuartile	CompanyLinkToGPGInfo	ResponsiblePerson	EmployerSize	CurrentName	SubmittedAfterTheDeadline	DueDate	DateSubmitted
1626	LONGACRES GARDEN CENTRE LIMITED	"Longacres Nursery,
London Road,
Bagshot,
Surrey,
United Kingdom,
GU19 5JB"	07689770	47760	0.0	0.0	0.0	0.0	0.0	0.0	52.3	47.7	42.1	57.9	29.9	70.1	39.3	60.7		Jamie Lewis (Payroll Manager)	250 to 499	LONGACRES GARDEN CENTRE LIMITED	False	05/04/2019 00:00:00	20/11/2018 15:10:04
1650	M E & A OLIVER LIMITED	"75, High Street,
Boston,
Lincolnshire,
England,
PE21 8SX"	06850410	78109	0.0	0.0	0.0	0.0	0.0	0.0	63.0	37.0	63.0	37.0	63.0	37.0	63.0	37.0		Alexander Fox (Director)	250 to 499	M E & A OLIVER LIMITED	False	05/04/2019 00:00:00	04/06/2018 16:23:45
1656	Macintyre Care	"602 South Seventh Street,
Central Milton Keynes,
Buckinghamshire,
United Kingdom,
MK9 2JA"	00894054	87300	-5.3	0.0	0.0	0.0	0.0	0.0	22.3	77.7	23.4	76.6	25.7	74.3	25.9	74.1		Helen Bass (Workforce Director)	1000 to 4999	Macintyre Care	False	05/04/2019 00:00:00	25/01/2019 13:54:44
1666	MAJESTIC BINGO LIMITED	"Regent Bingo Club,
Westlode Street,
Spalding,
Lincolnshire,
United Kingdom,
PE11 2AE"	08726904	92000	36.2	0.0	84.8	31.9	17.0	6.0	24.1	75.9	28.9	71.1	26.5	73.5	51.8	48.2	https://majesticbingo.com/about-us/gender-pay/	Gary Bennett (Finance Director)	250 to 499	MAJESTIC BINGO LIMITED	False	05/04/2019 00:00:00	18/03/2019 16:14:18
1672	Mama Bear's Day Nursery Ltd	"1st Floor, 60-62 High Street,
Hanham,
Bristol,
South Glos,
United Kingdom,
BS15 3DR"	04546256	88910	7.1	0.0	-100.0	-100.0	0.0	6.0	2.0	98.0	2.0	98.0	7.9	92.1	6.0	94.0	https://mamabear.co.uk/mama-bears-gender-pay-gap-report	Anthony Driffield (Managing Director)	250 to 499	Mama Bear's Day Nursery Ltd	False	05/04/2019 00:00:00	18/03/2019 14:13:08
1681	MARIPOSA CARE LIMITED	"2 Merchants Drive,
Parkhouse,
Carlisle,
England,
CA3 0JW"	02904093	87100	4.0	0.0	-100.0	-100.0	0.0	1.2	10.9	89.1	7.2	92.8	8.0	92.0	18.6	81.4		Joanne Barry (Financial Controller)	500 to 999	MARIPOSA CARE LIMITED	False	05/04/2019 00:00:00	12/03/2019 17:17:34
1693	MASSARELLA GELATERIE LIMITED	"Thurcroft Hall Brookhouse,
Laughton,
Sheffield,
United Kingdom,
S25 1XZ"	01474092	56101	4.3	0.0	-69.2	16.7	2.5	1.7	26.1	73.9	22.4	77.6	8.2	91.8	32.8	67.2	https://www.massarella.co.uk/	Jayne Webster (Human Resources Director)	500 to 999	MASSARELLA GELATERIE LIMITED	False	05/04/2019 00:00:00	14/03/2019 11:29:22
1697	MAYOR RESTAURANTS LIMITED	"1 Royal Birkdale Way,
Fairway Village,
Normaton,
West Yorkshire,
United Kingdom,
WF6 1WH"	08242572	56102	0.0	-2.0	35.0	40.0	11.0	14.0	48.0	52.0	43.0	57.0	43.0	57.0	49.0	51.0		MICHAEL O'REILLY (MANAGING DIRECTOR)	250 to 499	MAYOR RESTAURANTS LIMITED	False	05/04/2019 00:00:00	10/03/2019 14:10:42
1700	MC PERSONNEL LIMITED	"Greystones, Lower Bloors Lane,
Rainham,
Kent,
ME8 7TR"	03627101	78200	0.7	0.0	0.0	0.0	0.0	0.0	51.7	48.3	59.5	40.5	41.0	59.0	56.4	43.6		Colin Rayner (Director)	1000 to 4999	MC PERSONNEL LIMITED	False	05/04/2019 00:00:00	19/03/2019 09:05:10
1702	MCB RESTAURANTS LIMITED	"72-74, High Street,
Southend On Sea,
Essex,
SS1 1JF"	03202860	56101	5.2	0.0	16.6	14.3	12.9	12.6	59.0	41.0	45.6	54.4	56.5	43.5	48.9	51.1		Paul Dickinson (Operations Supervisor)	250 to 499	MCB RESTAURANTS LIMITED	False	05/04/2019 00:00:00	10/11/2018 10:48:07
1709	MCDONALD'S RESTAURANTS LIMITED	"11/59 High Road,
East Finchley,
London,
United Kingdom,
N2 8AW"	01002769	56102	4.0	0.0	64.0	7.0	56.0	56.0	47.0	53.0	49.0	51.0	45.0	55.0	52.0	48.0		HARRIET HOUNSELL (SVP Chief People Officer)	20,000 or more	MCDONALD'S RESTAURANTS LIMITED	False	05/04/2019 00:00:00	04/03/2019 13:35:41
