	EmployerName	Address	CompanyNumber	SicCodes	DiffMeanHourlyPercent	DiffMedianHourlyPercent	DiffMeanBonusPercent	DiffMedianBonusPercent	MaleBonusPercent	FemaleBonusPercent	MaleLowerQuartile	FemaleLowerQuartile	MaleLowerMiddleQuartile	FemaleLowerMiddleQuartile	MaleUpperMiddleQuartile	FemaleUpperMiddleQuartile	MaleTopQuartile	FemaleTopQuartile	CompanyLinkToGPGInfo	ResponsiblePerson	EmployerSize	CurrentName	SubmittedAfterTheDeadline	DueDate	DateSubmitted
1957	NPOWER YORKSHIRE LIMITED	"Windmill Hill Business Park,
Whitehill Way,
Swindon,
Wiltshire,
United Kingdom,
SN5 6PB"	03937808	35120	-8.0	0.0	-80.0	-143.0	81.0	89.0	96.0	4.0	99.0	1.0	99.0	1.0	96.0	4.0	https://www.npowerjobs.com/resources/2018_Gender_Pay_Gap_Report_Npower_Yorkshire_Limited.pdf	Christopher Pilgrim (HR Director)	500 to 999	NPOWER YORKSHIRE LIMITED	False	05/04/2019 00:00:00	31/08/2018 15:23:43
1962	NUCLEUS (GB) LIMITED	"Nucleus House,
3 Brookside Terrace,
Sunderland,
Tyne & Wear,
England,
SR2 7RN"	04546362	56102	9.3	0.0	38.1	29.4	14.6	14.6	38.0	62.0	40.0	60.0	36.0	64.0	40.0	60.0		Jasper Maudsley (Director)	500 to 999	NUCLEUS (GB) LIMITED	False	05/04/2019 00:00:00	04/03/2019 10:22:37
1966	NUMBERMILL LIMITED	"2, Greenhill Crescent,
Watford,
England,
WD18 8AH"	08884038	82990	-8.4	0.0	-137.7	7.4	100.0	100.0	71.2	28.8	82.7	17.3	86.5	13.5	69.8	30.2		Louise Rayner (CEO)	1000 to 4999	NUMBERMILL LIMITED	False	05/04/2019 00:00:00	12/03/2019 15:21:46
2003	ORCHARD HILL COLLEGE	"Quadrant House, The Quadrant, Brighton Road,
Sutton,
England,
SM2 5AS"	07586715	"85410,
85590"	0.2	0.0	0.0	0.0	0.0	0.0	19.7	80.3	30.3	69.7	30.3	69.7	24.6	75.4	https://orchardhill.ac.uk/	Janet Sherborne (Executive Director)	250 to 499	ORCHARD HILL COLLEGE	False	05/04/2019 00:00:00	13/03/2019 12:26:28
2010	OSQS LIMITED	"5-7, High Street,
Walton On Thames,
Surrey,
United Kingdom,
KT12 1DG"	09578733	82990	4.0	0.0	87.0	22.0	9.0	10.0	59.0	41.0	53.0	47.0	49.0	51.0	58.0	42.0		Danny O'Sullivan (Director)	250 to 499	OSQS LIMITED	False	05/04/2019 00:00:00	08/03/2019 07:21:08
2011	OSR RECRUITMENT SERVICES LIMITED	"Norvic House,
29-33 Chapel Field Road,
Norwich,
Norfolk,
United Kingdom,
NR2 1RP"	03860355	78200	3.9	0.0	53.4	-0.8	3.2	1.8	53.4	46.6	31.3	68.7	46.1	53.9	33.0	67.0		Mario Bardwell (Director)	250 to 499	OSR RECRUITMENT SERVICES LIMITED	False	05/04/2019 00:00:00	20/02/2019 10:51:02
2014	OUTCOMES FIRST MIDCO LIMITED	"Turnpike Gate House,
Alcester Heath,
Alcester,
England,
B49 5JG"	08516295	82990	3.0	0.0	23.0	15.0	1.0	1.3	30.2	69.8	40.9	59.1	32.8	67.2	35.3	64.7		Jean Ingham (Group Head of HR & L&D)	1000 to 4999	OUTCOMES FIRST MIDCO LIMITED	False	05/04/2019 00:00:00	19/03/2019 11:30:01
2021	OWENS (ROAD SERVICES) LIMITED	"Dafen Industrial Estate,
Dafen,
Llanelli,
Dyfed,
United Kingdom,
SA14 8QE"	01301976	"49410,
52103,
52219,
52290"	-17.0	0.0	0.0	0.0	0.0	0.0	96.0	4.0	91.0	9.0	97.0	3.0	87.0	13.0		Robert Ian Owen (Operations Director)	500 to 999	OWENS (ROAD SERVICES) LIMITED	False	05/04/2019 00:00:00	13/03/2019 10:26:13
2030	PARK HOMES (UK) LIMITED	"50 Brantwood Oval,
Bradford,
West Yorkshire,
United Kingdom,
BD9 6QP"	03349379	82990	0.0	0.0	0.0	0.0	0.0	0.0	2.0	98.0	3.0	97.0	2.0	98.0	6.0	94.0		Amjad Hussain (Payroll)	250 to 499	PARK HOMES (UK) LIMITED	False	05/04/2019 00:00:00	13/03/2019 15:37:15
2045	PEARSON PROFESSIONAL ASSESSMENTS LIMITED	"80 Strand,
London,
United Kingdom,
WC2R 0RL"	04904325	85590	12.0	0.0	62.0	34.0	19.0	15.0	39.0	61.0	41.0	59.0	41.0	59.0	53.0	47.0	https://www.pearson.com/content/dam/one-dot-com/one-dot-com/global/Files/sustainability/policies/24822_GenderPayGapReport_021319_r11_ext.pdf	Anna Vikström Persson (Chief Human Resources Officer)	500 to 999	PEARSON PROFESSIONAL ASSESSMENTS LIMITED	False	05/04/2019 00:00:00	12/03/2019 11:57:15
2062	PERSONA CARE AND SUPPORT LIMITED	"Grundy,
Wellington Road,
Bury,
Lancashire,
United Kingdom,
BL9 9AH"	09725580	"87300,
88100"	6.1	0.0	0.0	0.0	0.0	0.0	13.0	87.0	17.4	82.6	22.0	78.0	24.7	75.3	http://www.personasupport.org/quality/gender-pay-gap-reporting/	Kat Sowden (Managing Director)	250 to 499	PERSONA CARE AND SUPPORT LIMITED	False	05/04/2019 00:00:00	04/03/2019 14:00:10
2064	Perthyn	"Vivian Court,
Llys Felin Newydd,
Phoenix Way,
Swansea,
United Kingdom,
SA7 9FG"	03017158	"81100,
82110,
87200"	2.3	0.0	0.0	0.0	0.0	0.0	26.0	74.0	38.0	62.0	30.0	70.0	32.0	68.0	https://perthyn.org.uk	Stephen Cox (CEO)	500 to 999	Perthyn	False	05/04/2019 00:00:00	03/01/2019 14:28:22
2065	Pesto Restaurants Ltd	"Unit 14 Wharfside Business Park,
Irlam Wharf Road Irlam,
Manchester,
United Kingdom,
M44 5PN"	05162378	56101	8.1	0.0	-94.9	-51.0	3.6	2.3	54.1	45.9	37.2	62.8	44.2	55.8	60.5	39.5	https://pestorestaurants.co.uk/	Martin Evans (Finance Director)	250 to 499	Pesto Restaurants Ltd	False	05/04/2019 00:00:00	21/03/2019 14:38:48
2074	PHILLIPS 66 LIMITED	"7th, Floor,
200-202 Aldersgate Street,
London,
EC1A 4HD"	00529086	6100	-0.8	0.0	8.0	1.5	97.5	94.0	80.0	20.0	93.0	7.0	90.0	10.0	82.0	18.0	https://www.phillips66.co.uk/EN/Regulatory/Pages/Gender-Pay-Gap-Report-2018.pdf	Paul Crick (Human Resources Manager)	500 to 999	PHILLIPS 66 LIMITED	False	05/04/2019 00:00:00	14/03/2019 09:56:12
2078	PING PONG LIMITED	"Elder House St Georges Business Park,
Brooklands Road,
Weybridge,
Surrey,
United Kingdom,
KT13 0TS"	05126756	56101	11.5	0.0	-5.8	0.0	26.5	19.9	48.0	52.0	55.3	44.7	55.8	44.2	63.2	36.8		Jing Han (Finance Analyst)	250 to 499	PING PONG LIMITED	False	05/04/2019 00:00:00	05/03/2019 13:50:24
2084	PJ CARE LIMITED	"153 Sherwood Drive,
Bletchley,
Milton Keynes,
England,
MK3 6RT"	03936122	87900	28.0	0.0	0.0	0.0	96.0	97.0	23.0	77.0	23.0	77.0	14.0	86.0	31.0	69.0		Mark Butler (Director of Operations)	250 to 499	PJ CARE LIMITED	False	05/04/2019 00:00:00	27/02/2019 09:48:45
2085	PLANET ORGANIC LIMITED	"42 Westbourne Grove,
London,
W2 5SH"	03826282	"47210,
47220,
47240,
47290"	7.4	0.0	28.0	18.0	65.4	70.2	39.0	61.0	38.0	62.0	45.0	55.0	45.0	55.0	https://www.planetorganic.com/gender-pay-gap-report/	KIM Gieske (HR Director)	250 to 499	PLANET ORGANIC LIMITED	False	05/04/2019 00:00:00	20/12/2018 14:21:03
2101	POSSABILITIES C.I.C.	"Cherwell Centre, Cherwell Avenue,
Heywood,
Lancashire,
OL10 4SY"	08837981	"87200,
88100,
88990"	0.3	0.0	0.0	0.0	0.0	0.0	21.0	79.0	29.0	71.0	18.0	82.0	28.0	72.0	https://possabilities.org.uk	Carolyn Tipper (Head of HR)	250 to 499	POSSABILITIES C.I.C.	False	05/04/2019 00:00:00	11/03/2019 15:13:31
2110	PREMIER CARE LIMITED	"Premier House Union Street,
Pendlebury, Swinton,
Manchester,
United Kingdom,
M27 4HL"	05213770	88100	0.0	0.0	0.0	0.0	1.0	2.0	10.0	90.0	25.0	75.0	20.0	80.0	50.0	50.0		John Regan (Director)	1000 to 4999	PREMIER CARE LIMITED	False	05/04/2019 00:00:00	09/04/2018 14:51:42
2115	PRESTIGE RECRUITMENT SPECIALISTS LIMITED	"Prestige House,
12 Bowlalley Lane,
Hull,
East Yorkshire,
United Kingdom,
HU1 1XR"	04098721	78200	2.6	0.0	0.0	0.0	0.0	0.0	55.2	44.8	52.9	47.1	63.2	36.8	70.6	29.4		Vicky Black (HR Manager)	1000 to 4999	PRESTIGE RECRUITMENT SPECIALISTS LIMITED	False	05/04/2019 00:00:00	15/03/2019 11:54:31
2127	PRIVATE TUITION SERVICES LTD	"1-19, Wakefield Street,
2nd & 3rd Floor,
London,
N18 2BZ"	05142566	85310	2.6	0.0	0.0	0.0	0.0	0.0	35.0	65.0	25.0	75.0	24.0	76.0	25.0	75.0		Dr Nazir Ahmed (Director)	250 to 499	PRIVATE TUITION SERVICES LTD	False	05/04/2019 00:00:00	07/04/2018 10:53:53
2131	PROFESSIONAL PIZZA COMPANY LIMITED	"Unit 4, Sidestrand Pendeford Business Park,
Wobaston Road,
Wolverhampton,
West Midlands,
England,
WV9 5HD"	03393195	56103	10.4	0.0	0.0	0.0	0.0	0.0	62.6	37.4	75.8	24.2	93.1	6.9	85.0	15.0		Nav Bains (Director)	250 to 499	PROFESSIONAL PIZZA COMPANY LIMITED	False	05/04/2019 00:00:00	14/03/2019 09:44:48
2144	PUBLIC RESTAURANT PARTNER LIMITED	"COMPANY OF COOKS,
Dephna House,
14 Cumberland Avenue,
Park Royal,
Middlesex,
England,
NW10 7QL"	05111519	"56101,
56102,
56103,
56210"	6.2	0.0	0.0	0.0	0.0	0.0	43.1	56.9	56.6	43.4	55.5	44.5	59.3	40.7		Hitesh Padhair (Financial Controller)	500 to 999	PUBLIC RESTAURANT PARTNER LIMITED	False	05/04/2019 00:00:00	17/04/2018 17:31:54
2150	PUTTINGYOUFIRST LTD	"Denton House, Denton Drive,
Northwich,
Cheshire,
England,
CW9 7LU"	08437794	"82990,
88100,
88990"	1.1	0.0			0.0	0.0	22.2	77.8	26.6	73.4	15.5	84.5	17.8	82.2		MICHELLE MCMASTER (Finance Director)	250 to 499	PUTTINGYOUFIRST LTD	False	05/04/2019 00:00:00	21/03/2019 15:49:20
2158	QUEST EMPLOYMENT LIMITED	"7, - 9 The Avenue,
Eastbourne,
East Sussex,
BN21 3YA"	05509015	78200	-2.9	0.0	55.1	46.9	5.8	59.7	59.7	40.3	58.8	41.2	57.8	42.2	52.1	47.9	https://www.questemployment.co.uk/compliance/gender-pay-act/6.htm	Lynn Banks (Finance Director)	1000 to 4999	QUEST EMPLOYMENT LIMITED	False	05/04/2019 00:00:00	21/03/2019 16:52:44
2162	R E PEOPLE LIMITED	"Cps House, 7-9 Ambrose Street,
Cheltenham,
Gloucestershire"	05506226	78109	-44.0	0.0	-245.0	-692.0	3.0	2.0	60.8	39.2	58.9	41.1	66.1	33.9	62.9	37.1	https://www.reresourcegroup.co.uk/	Rina Gendvilaite (Payroll Manager)	250 to 499	R E PEOPLE LIMITED	False	05/04/2019 00:00:00	11/06/2018 17:07:26
2164	R&L RESTAURANTS LTD	"15-17 Bradshawgate,
Leigh,
WN7 4Nb"	06739409	56102	-0.2	0.0	0.0	0.0	0.0	0.0	48.0	52.0	49.0	51.0	48.0	52.0	51.0	49.0		LAWRENCE HILLIKER (DIRECTOR)	250 to 499	R&L RESTAURANTS LTD	False	05/04/2019 00:00:00	09/03/2019 09:19:26
2166	R.N. WOOLER & COMPANY LIMITED	"Florence House, Lawkholme Business Park,
Lawkholme Lane,
Keighley,
BD21 3LA"	01933071	41201	-9.7	0.0	23.7	25.0	79.7	71.4	78.9	21.1	65.0	35.0	95.0	5.0	55.0	45.0		Alice Keinhorst (Contracts Department)	250 to 499	R.N. WOOLER & COMPANY LIMITED	False	05/04/2019 00:00:00	27/02/2019 11:22:59
2170	Radstock Co-Operative Society Ltd.	"3 Wells Road,
Radstock,
Avon,
United Kingdom,
BA3 3RQ"	IP001159	74909	9.8	0.0	-85.0	-76.5	1.3	1.4	19.5	80.5	32.5	67.5	44.2	55.8	53.9	46.1	http://www.radstockcoop.co.uk	Vicki Przytocki (Head of HR & Communications)	500 to 999	Radstock Co-Operative Society Ltd.	False	05/04/2019 00:00:00	19/02/2019 10:02:02
2175	RANDOLPH HILL NURSING HOMES (SCOTLAND) LIMITED	"Broughton House,
31 Dunedin Street,
Edinburgh,
United Kingdom,
EH7 4JG"	SC284861	87100	-1.1	0.0	30.4	-63.6	5.3	4.3	19.0	81.0	19.0	81.0	29.0	71.0	11.0	89.0	https://www.randolphhill.com/	Peter McCormick (Managing Director)	500 to 999	RANDOLPH HILL NURSING HOMES (SCOTLAND) LIMITED	False	05/04/2019 00:00:00	22/03/2019 09:27:15
2176	RAPID EMPLOYMENT AND RECRUITMENT LIMITED	"33a, Regal Road,
Wisbech,
Cambridgeshire,
PE13 2RQ"	03940981	82990	3.1	0.0	-37.4	0.0	53.7	52.0	40.6	59.4	38.6	61.4	48.5	51.5	57.4	42.6		Lionel Sheffield (Director)	250 to 499	RAPID EMPLOYMENT AND RECRUITMENT LIMITED	False	05/04/2019 00:00:00	21/03/2019 17:45:59
2177	RAPID RECRUIT LIMITED	"9a Hargreaves Street,
Burnley,
Lancashire,
United Kingdom,
BB11 1LH"	06238229	78200	-4.1	0.0	8.0	8.0	0.3	1.1	63.1	36.9	70.4	29.6	73.8	26.2	69.7	30.3	http://www.rapid-recruit.com/gender-pay-gap/	James McKenna (Managing Director)	500 to 999	RAPID RECRUIT LIMITED	False	05/04/2019 00:00:00	23/04/2018 12:55:53
2186	RCB BUSINESS SOLUTIONS LIMITED	"Unit 1, Victoria Place,
Chesterton,
Newcastle Under Lyme,
Staffs,
ST5 7PQ"	04720326	82990	-8.4	0.0	0.0	0.0	0.0	0.0	40.7	59.3	25.0	75.0	26.7	73.3	30.0	70.0		Laura Barrow (Managing Director)	250 to 499	RCB BUSINESS SOLUTIONS LIMITED	False	05/04/2019 00:00:00	26/11/2018 13:30:22
2193	RED EAGLE LIMITED	"Shakespeare House,
147 Sandgate Road,
Folkestone,
Kent,
United Kingdom,
CT20 2DA"	05288420	78200	2.6	0.0	12.4	0.9	21.7	27.1	57.4	42.6	51.0	49.0	63.4	36.6	68.9	31.1	https://www.redeagle.jobs/policies/	Jason Alderson (Finance Director)	1000 to 4999	RED EAGLE LIMITED	False	05/04/2019 00:00:00	13/03/2019 14:42:46
2196	REDBRIDGE PRODUCE & FLOWERS LIMITED	"Total Produce Enterprise Way,
Pinchbeck,
Spalding,
Lincolnshire,
United Kingdom,
PE11 3YR"	03034745	46310	15.0	0.0	72.0	60.0	87.0	82.0	64.0	36.0	76.0	24.0	64.0	36.0	86.0	14.0		Francis McKernan (Managing Director for UK & Ireland)	250 to 499	REDBRIDGE PRODUCE & FLOWERS LIMITED	False	05/04/2019 00:00:00	19/03/2019 12:40:58
2203	REGENCY CLEANING SERVICES LIMITED	"Graffix House, Newtown Business Park,
Henley On Thames,
RG9 1HG"	04257325	81210	0.0	-0.8	0.0	0.0	0.0	0.0	30.0	70.0	31.0	69.0	40.0	60.0	34.0	66.0	http://www.regencycleaning.co.uk/gender-pay-report/	Krysia Sheppard (Office Manager)	250 to 499	REGENCY CLEANING SERVICES LIMITED	False	05/04/2019 00:00:00	12/04/2018 09:47:33
2206	Registers of Scotland	"Meadowbank House,
153 London Road,
Edinburgh,
EH8 7AU"		1	2.0	0.0	0.0	0.0	0.0	0.0	51.5	48.5	49.8	50.2	48.0	52.0	54.6	45.4			1000 to 4999	Registers of Scotland	False	31/03/2019 00:00:00	14/11/2018 14:00:29
2208	RENAISSANCE CARE (NO1) LIMITED	"Suite 2, Ground Floor, Stuart House Eskmills Park,
Station Road,
Musselburgh,
Midlothian,
EH21 7PB"	SC402097	87100	-5.5	0.0	0.0	0.0	1.0	2.7	28.0	72.0	12.9	87.1	12.2	87.8	50.0	50.0		William McLeish (Finance Director)	500 to 999	RENAISSANCE CARE (NO1) LIMITED	False	05/04/2019 00:00:00	20/03/2019 13:58:39
2217	RETAIL MERCHANDISING SERVICES LTD	"Suite D Nelson House Langstone Business Park, Langstone,
Newport,
South Wales,
NP18 2LH"	05357617	82990	1.1	0.0			0.0	0.0	85.0	15.0	80.0	20.0	74.0	26.0	79.0	21.0		Daniel O'Toole (CEO)	Less than 250	RETAIL MERCHANDISING SERVICES LTD	False	05/04/2019 00:00:00	22/03/2019 14:54:42
2221	REVIUM GROUP LIMITED	"Hatch Farm Mill Lane, Sindlesham,
Wokingham,
Berkshire,
United Kingdom,
RG41 5DF"	09788901	73110	-4.0	0.0	8.4	22.9	87.8	81.0	77.8	22.2	77.2	22.8	76.3	23.7	73.6	26.4	http://reviumgroup.com/gender-pay-gap/	Warren Richmond (Group Director)	250 to 499	REVIUM GROUP LIMITED	False	05/04/2019 00:00:00	06/04/2018 15:58:06
2225	RICH PRODUCTS LIMITED	"Unit 5 Pioneer Road,
Andover Business Park,
Andover,
England,
SP11 8EZ"	01847615	10710	2.4	0.0	90.0	0.0	28.8	18.7	57.5	42.5	58.0	42.0	58.0	42.0	58.0	42.0		David Hunt (Managing Director UK and EME)	250 to 499	RICH PRODUCTS LIMITED	False	05/04/2019 00:00:00	21/03/2019 07:34:03
2232	RIDGE CREST CLEANING LIMITED	"Unit 3 Service House,
61/63 Rochester Road,
Aylesford,
Kent,
United Kingdom,
ME20 7BS"	02907221	81229	-2.4	0.0	0.0	0.0	0.0	0.0	30.8	69.2	23.1	76.9	20.5	79.5	21.6	78.4		Nicola Davey (Office Manager)	250 to 499	RIDGE CREST CLEANING LIMITED	False	05/04/2019 00:00:00	18/03/2019 14:39:55
2234	RIGHT CHOICE INSURANCE BROKERS LIMITED	"St James House, 27 - 43 Eastern Road,
Romford,
Essex,
RM1 3NH"	06423401	65120	20.0	0.0	47.2	41.4	87.4	71.1	60.2	39.8	34.9	65.1	30.1	69.9	66.3	33.7	https://www.rcib.co.uk/gender-pay-gap	Darren Joseph (Chief Operating Officer)	250 to 499	RIGHT CHOICE INSURANCE BROKERS LIMITED	False	05/04/2019 00:00:00	18/03/2019 12:49:17
2237	RING AND RIDE WEST MIDLANDS LIMITED	"80 Park Road,
Birmingham,
West Midlands,
United Kingdom,
B6 5PL"	08355288	49319	-6.0	0.0	0.0	0.0	0.0	0.0	81.0	19.0	81.0	19.0	81.0	19.0	70.0	30.0		Sally-Ann McKevitt (Head of HR and Service Development)	250 to 499	RING AND RIDE WEST MIDLANDS LIMITED	False	05/04/2019 00:00:00	17/10/2018 10:31:14
2247	ROBERT HOLDCROFT LIMITED	"42 Bromwich Lane,
Pedmore,
Stourbridge,
West Midlands,
United Kingdom,
DY9 0QZ"	02969279	56102	1.4	0.0	8.1	1.6	15.1	13.4	50.0	50.0	51.0	49.0	50.0	50.0	53.0	47.0		Robert Holdcroft (Director)	500 to 999	ROBERT HOLDCROFT LIMITED	False	05/04/2019 00:00:00	22/03/2019 08:18:39
2273	Royal College of Music	"Prince Consort Road,
London,
SW7 2BS"		"1,
85421"	6.8	0.0	0.0	0.0	0.0	0.0	45.0	55.0	62.8	37.2	62.2	37.8	50.3	49.7	https://www.rcm.ac.uk/about/governance/strategy/hr/Gender%20Pay%20Gap%20Report%202018%20-%20EXTERNAL%20FINAL.pdf		250 to 499	Royal College of Music	False	31/03/2019 00:00:00	11/03/2019 10:41:40
2302	S.A.BRAIN & COMPANY,LIMITED	"Dragon Brewery,
Pacific Road,
Cardiff,
United Kingdom,
CF24 5HJ"	00052099	"11050,
46342,
55100,
56302"	18.2	0.0	16.2	26.2	17.8	8.4	48.7	51.3	41.8	58.2	49.2	50.8	70.0	30.0	https://www.sabrain.com/gender-pay-gap-reports-2018/	Kate Ablett (Head of People)	1000 to 4999	S.A.BRAIN & COMPANY,LIMITED	False	05/04/2019 00:00:00	15/03/2019 15:04:14
2307	S4E LIMITED	"Unit 3 Holt Court Holt Street,
Birmingham Science Park Aston,
Birmingham,
England,
B7 4AX"	07739831	"85520,
90030"	9.7	0.0	0.0	0.0	0.0	0.0	31.8	68.2	47.0	53.0	56.1	43.9	55.4	44.6		Martyn Collin (CEO)	250 to 499	S4E LIMITED	False	05/04/2019 00:00:00	16/07/2018 14:03:26
2310	Sacro	"29 Albany Street,
Edinburgh,
United Kingdom,
EH1 3QN"	SC086651	"87900,
88990"	0.3	0.0	0.0	0.0	0.0	0.0	45.0	55.0	36.0	64.0	34.0	66.0	43.0	57.0		Joti Singh (Head of HR & OD)	250 to 499	Sacro	False	05/04/2019 00:00:00	19/03/2019 15:27:47
2349	Scottish Courts & Tribunals Service	"Saughton House,
Broomhouse Drive,
Edinburgh,
EH11 3XD"		1	2.8	0.0			0.0	0.0	45.0	55.0	25.0	75.0	28.0	72.0	37.0	63.0			1000 to 4999	Scottish Courts & Tribunals Service	False	31/03/2019 00:00:00	20/03/2019 12:18:33
2366	SENAD LIMITED	"1 St Georges Vernon Gate,
Derby,
Derbyshire,
United Kingdom,
DE1 1UQ"	01176549	85590	0.5	0.0	-78.0	-138.0	5.0	6.0	24.0	76.0	32.0	68.0	36.0	64.0	23.0	77.0	https://senadgroup.com/wp-content/uploads/2019/03/Gender-Pay-Reporting-Statement-March-2019.pdf	Victoria Finn (HR Director)	250 to 499	SENAD LIMITED	False	05/04/2019 00:00:00	11/03/2019 13:55:20
2386	SHAFTESBURY CARE GRP LIMITED	"6th Floor, Cardinal House, 20 St. Marys Parsonage,
Manchester,
England,
M3 2LG"	07707240	82990	-2.5	0.0	0.0	0.0	0.0	0.0	17.7	82.3	14.6	85.4	17.7	82.3	17.5	82.5		Amanda Jesky (Financial Controller)	250 to 499	SHAFTESBURY CARE GRP LIMITED	False	05/04/2019 00:00:00	27/02/2019 15:26:39
2392	SHEFFCARE LIMITED	"Springwood House,
192 Penrith Road,
Sheffield,
United Kingdom,
S5 8UG"	02538734	87300	-4.0	0.0	-40.0	20.0	3.3	3.3	10.5	89.5	13.1	86.9	17.5	82.5	12.4	87.6	http://www.sheffcare.co.uk	Merewyn Scafe (Head of HR & Training)	250 to 499	SHEFFCARE LIMITED	False	05/04/2019 00:00:00	12/03/2019 11:16:36
2426	SILK HEALTHCARE LIMITED	"Greenside House Greenside Avenue, Staincross,
Barnsley,
South Yorkshire,
S75 6BB"	05893616	98000	-4.5	0.0	0.0	0.0	0.0	0.4	13.6	86.4	8.8	91.2	16.0	84.0	12.5	87.5		Anna Marshall-Day (Director of People Development)	250 to 499	SILK HEALTHCARE LIMITED	False	05/04/2019 00:00:00	13/03/2019 15:48:01
2441	SKIWORLD LIMITED	"Skiworld House,
3 Vencourt Place,
London,
United Kingdom,
W6 9NU"	02874579	79120	4.7	0.0	16.6	8.3	92.5	92.8	47.0	53.0	50.0	50.0	50.0	50.0	58.0	42.0	https://skiworld.co.uk	G Faulds (Co Sec)	250 to 499	SKIWORLD LIMITED	False	05/04/2019 00:00:00	05/04/2018 12:36:57
2447	SMCSM LIMITED	"Glebelands Ct 10 Glebelands Road, Sale,
Cheshire,
M33 6LB"	08056505	81210	0.0	0.0	0.0	0.0	0.0	0.0	33.0	67.0	17.0	83.0	33.0	67.0	80.0	20.0		Becky Bates (Admin Manager)	250 to 499	SMCSM LIMITED	False	05/04/2019 00:00:00	25/02/2019 16:44:25
2466	SOLENT PIZZA W LIMITED	"2nd Floor, Tollbar House Tollbar Way,
Hedge End,
Southampton,
England,
SO30 2ZP"	07757466	56103	0.4	0.0	1.3	5.7	70.0	40.0	67.0	33.0	83.0	17.0	99.0	1.0	74.0	26.0		Mark Parker (Director)	250 to 499	SOLENT PIZZA W LIMITED	False	05/04/2019 00:00:00	06/03/2019 08:59:39
2469	SOLSBURY SOLUTIONS LIMITED	"Elm House Tanshire Business Park,
Shackleford Road,
Elstead, Godalming,
Surrey,
England,
GU8 6LB"	06692690	78200	1.1	0.0	-34.8	0.0	1.7	2.4	56.7	43.3	69.8	30.2	71.2	28.8	68.4	31.6	https://www.solsburysolutions.com	Priya Anand (Management Accountant)	500 to 999	SOLSBURY SOLUTIONS LIMITED	False	05/04/2019 00:00:00	25/02/2019 20:34:53
2487	SOUTH LANARKSHIRE LEISURE AND CULTURE LIMITED	"Council Office,
North Stand,
Cadzow Avenue,
Hamilton,
United Kingdom,
ML3 0LX"	SC225702	"90040,
91011,
91020,
93110"	2.7	0.0	0.0	0.0	0.0	0.0	32.2	67.8	47.7	52.3	37.5	62.5	43.8	56.2		Paul Barton (Company Secretary)	1000 to 4999	SOUTH LANARKSHIRE LEISURE AND CULTURE LIMITED	False	05/04/2019 00:00:00	20/02/2019 14:55:06
2500	SOUTHDOWN HOUSING ASSOCIATION LIMITED	"2 Bell Lane,
Lewes,
BN7 1JU"	IP20755R		2.3	0.0	-14.6	0.0	3.2	2.7	30.9	69.1	35.3	64.7	30.0	70.0	34.5	65.5	https://www.southdown.org/sites/default/files/public/Gender%20Pay%20Gap%202018.pdf	Vikki Hayward-Cripps (Deputy Chief Executive)	500 to 999	SOUTHDOWN HOUSING ASSOCIATION LIMITED	False	05/04/2019 00:00:00	07/02/2019 12:42:53
2516	Speedy Hire PLC	"Chase House,
16 The Parks,
Newton Le Willows,
Merseyside,
United Kingdom,
WA12 0JQ"	00927680	77390	0.0	3.0	11.0	-14.0	67.0	81.0	87.0	13.0	77.0	23.0	85.0	15.0	84.0	16.0	https://www.speedyservices.com/corporate-social-responsibility	Cathy Dawson (HR Director)	1000 to 4999	Speedy Hire PLC	False	05/04/2019 00:00:00	07/02/2019 16:30:21
2517	SPEEDY TRANSPORT LIMITED	"Chase House 16 The Parks, Newton Le Willows,
Merseyside,
WA12 0JQ"	04408263	77390	0.0	0.0	0.0	0.0	81.0	0.0	100.0	0.0	100.0	0.0	100.0	0.0	100.0	0.0	https://www.speedyservices.com/corporate-social-responsibility	Cathy Dawson (HR Director)	500 to 999	SPEEDY TRANSPORT LIMITED	False	05/04/2019 00:00:00	07/02/2019 16:33:00
2526	SPRINGHILL FARMS (PERSHORE) LIMITED	"Evesham Vale Growers Ltd Birmingham Road, Blackminster,
Evesham,
Worcestershire,
WR11 7TD"	06015601	"1130,
46310"	23.4	0.0	61.0	63.0	16.0	5.0	48.0	52.0	46.4	53.6	35.1	64.9	64.9	35.1		Marco Bille (Director)	250 to 499	SPRINGHILL FARMS (PERSHORE) LIMITED	False	05/04/2019 00:00:00	07/12/2018 10:15:49
2530	SSE ENERGY SUPPLY LIMITED	"55, Vastern Road,
Reading,
Berkshire,
RG1 8BU"	03757502	82990	10.0	0.0	60.9	41.9	18.9	8.8	47.5	52.5	42.9	57.1	37.1	62.9	52.8	47.2	http://sse.com/media/522476/SSE-plc-Sustainability-Report-2018.pdf	Alistair Phillips-Davies (Chief Executive Officer)	500 to 999	SSE ENERGY SUPPLY LIMITED	False	05/04/2019 00:00:00	18/06/2018 09:24:42
2538	St Andrew's Healthcare	"St Andrew's Healthcare,
Cliftonville Road,
Northampton,
Northamptonshire,
United Kingdom,
NN1 5DG"	05176998	87200	5.6	0.0	29.7	0.0	64.9	61.7	40.0	60.0	36.0	64.0	39.0	61.0	37.0	63.0	https://www.stah.org/who-we-are/latest-news/st-andrews-2019-gender-pay-gap-report/	Martin Kersey (Executive Director of HR)	1000 to 4999	St Andrew's Healthcare	False	05/04/2019 00:00:00	05/03/2019 12:04:56
