,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000017,Hillingdon,464.7,3.7,501.2,3.1,514.4,3.4,530.2,3.4,530.3,3.4,530.7,3.3,552.9,3.1,595.2,3.7,631.9,3.9,574.1,3.7,626.0,4.3,679.3,4.7,662.5,3.8,672.6,3.3,682.2,3.7,682.4,3.8,711.6,4.5,677.3,4.1,660.1,3.1,658.8,4.1,667.5,4.6
E09000018,Hounslow,422.4,4.6,423.7,4.9,416.9,4.5,465.4,4.9,495.9,5.7,526.1,6.2,542.7,4.7,558.9,6.5,572.0,5.3,541.1,5.8,617.7,5.4,581.3,6.4,629.4,5.6,659.2,6.2,692.8,6.1,626.8,5.1,652.5,5.7,680.2,6.1,714.1,4.3,750.7,5.5,695.0,5.8
E09000019,Islington,466.6,4.4,493.0,5.0,527.7,4.5,539.8,3.4,583.9,5.0,710.2,4.9,689.8,4.9,627.4,4.0,650.5,3.3,700.6,4.0,741.4,5.7,765.5,4.7,739.8,4.3,692.2,4.0,764.7,4.2,752.3,4.5,786.5,5.2,716.6,3.6,747.4,4.2,829.0,4.2,843.3,4.7
E09000020,Kensington and Chelsea,364.8,8.2,443.6,8.0,469.5,8.1,483.6,5.5,482.6,7.3,520.2,5.6,544.8,7.3,517.2,8.8,520.6,7.7,491.0,8.4,536.5,8.6,559.1,9.6,570.8,8.0,605.0,6.5,568.1,6.8,597.0,8.0,541.6,8.5,574.9,7.0,597.0,5.1,563.4,7.3,689.9,5.8
E09000021,Kingston upon Thames,450.1,7.8,436.7,7.9,394.9,7.3,450.2,8.3,455.8,8.4,468.9,10.0,481.3,9.3,460.8,8.4,506.3,8.5,536.2,6.9,529.6,7.6,541.6,7.8,557.2,5.9,564.7,5.5,573.9,5.9,575.6,5.2,554.1,5.5,585.3,5.6,571.2,4.0,602.9,4.5,622.9,4.7
E09000022,Lambeth,447.0,6.2,468.0,5.2,491.7,4.2,499.9,5.0,500.6,4.5,500.9,4.4,511.6,5.0,568.9,5.8,585.0,5.1,606.5,5.0,614.6,4.8,645.7,5.8,701.5,4.6,693.7,4.5,702.6,4.8,689.9,5.2,710.2,4.7,757.6,5.6,711.8,5.4,670.9,5.3,731.3,4.6
E09000023,Lewisham,358.6,7.0,361.2,11.0,433.9,7.4,414.3,8.7,402.7,10.0,404.4,9.5,460.8,9.8,491.6,9.0,534.8,10.0,563.3,9.8,514.0,9.1,561.3,6.9,577.0,4.4,581.1,7.0,592.2,7.9,586.5,8.9,595.4,8.0,625.2,6.8,643.6,8.7,615.4,10.0,654.6,8.4
E09000024,Merton,378.0,6.3,358.9,5.3,371.1,4.8,397.2,7.9,421.8,7.0,413.7,5.9,422.9,8.0,461.4,8.3,536.1,11.0,489.6,7.8,512.7,6.6,485.2,7.0,520.7,5.7,594.9,5.3,560.8,7.2,540.6,5.7,539.3,7.2,538.2,7.3,557.1,7.8,574.2,7.9,654.0,7.4
E09000025,Newham,380.6,6.2,378.4,5.3,366.0,7.1,424.3,7.2,442.2,6.0,446.6,5.1,474.1,5.6,532.2,6.0,554.3,5.1,564.4,5.6,552.8,6.9,575.4,7.1,646.3,5.5,637.2,5.8,605.9,5.4,588.1,5.7,598.9,6.7,597.8,7.6,577.5,8.1,604.0,8.3,639.1,7.0
E09000026,Redbridge,368.4,8.7,376.4,7.3,375.4,8.4,403.8,8.3,433.5,7.0,468.6,8.1,497.6,6.7,478.2,10.0,528.8,7.0,537.7,8.6,585.9,7.4,613.7,6.6,649.3,6.7,642.0,8.5,644.5,7.6,611.1,10.0,652.1,9.5,680.0,8.2,621.4,13.0,639.0,11.0,631.4,13.0
E09000027,Richmond upon Thames,392.4,9.6,403.7,8.2,440.0,9.1,459.5,11.0,460.8,8.0,504.5,9.2,503.7,9.0,579.5,7.9,506.6,6.7,548.0,8.2,591.6,6.9,637.3,7.6,636.0,9.7,650.2,8.0,638.8,10.0,615.7,9.2,660.1,8.8,646.3,9.3,654.5,6.2,692.6,8.5,654.2,8.4
E09000028,Southwark,456.6,4.8,449.2,5.0,480.0,4.1,528.1,4.1,620.9,2.5,636.4,2.7,660.2,3.2,627.4,4.5,621.2,3.9,632.9,4.2,659.5,4.9,636.3,5.4,665.5,4.3,691.5,4.1,707.9,4.6,729.0,4.9,730.6,4.0,728.2,3.7,716.8,3.5,743.7,3.4,766.6,4.0
E09000029,Sutton,433.6,7.3,418.3,8.4,445.7,6.0,438.1,7.3,472.0,7.6,502.8,7.1,513.1,6.3,495.2,6.6,486.2,7.6,517.0,5.6,508.8,5.4,517.9,5.8,512.1,4.7,530.9,6.6,489.2,6.0,516.3,5.8,584.1,5.4,503.2,6.5,574.0,5.3,552.9,7.3,554.9,5.9
E09000030,Tower Hamlets,499.5,4.1,547.0,4.2,557.5,5.5,603.2,5.1,665.7,4.2,652.2,5.6,713.9,5.3,812.4,5.2,848.2,5.4,818.7,5.4,847.4,4.4,958.2,5.1,911.7,3.6,946.9,4.9,975.4,4.8,924.3,4.0,"1,007.4",4.6,979.5,4.4,996.3,5.0,958.2,4.1,"1,037.4",4.7
E09000031,Waltham Forest,363.5,7.6,387.0,7.5,366.8,7.3,402.8,8.3,452.1,9.4,444.3,7.6,457.4,10.0,453.4,11.0,452.2,8.8,467.8,9.2,529.3,8.0,612.8,8.6,539.7,5.3,544.6,7.6,578.8,7.9,586.3,6.5,566.5,8.2,548.3,9.0,572.2,8.2,558.8,7.7,639.4,6.6
