,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000017,Hillingdon,343.8,5.8,349.6,6.0,345.5,5.1,350.6,4.7,371.0,6.8,365.3,5.1,396.2,6.0,430.0,5.0,439.5,5.1,446.2,4.9,495.3,5.2,504.4,4.8,520.0,4.6,542.3,4.2,537.7,4.6,542.6,4.1,583.3,4.7,575.9,4.7,585.0,5.2,550.7,5.3,587.0,6.4
E09000018,Hounslow,338.1,5.7,346.1,5.3,381.8,5.7,391.7,5.0,402.5,5.8,411.1,8.2,427.4,7.9,417.7,7.5,431.6,7.2,454.6,6.3,472.5,6.3,490.3,5.8,537.1,5.6,537.2,4.0,526.6,6.4,530.0,4.6,511.8,5.5,556.0,6.2,571.4,5.9,559.3,6.9,597.3,7.5
E09000019,Islington,373.4,5.8,383.9,4.3,426.4,4.3,461.2,4.9,456.8,4.7,546.0,3.7,546.9,3.3,504.0,3.3,517.5,4.0,545.0,3.0,545.8,4.7,591.3,4.2,611.8,3.9,590.8,4.1,591.7,3.8,642.0,3.2,629.3,3.6,613.3,3.4,615.9,3.2,664.8,3.0,665.1,3.4
E09000020,Kensington and Chelsea,345.5,5.3,345.5,5.7,354.7,5.0,380.4,6.3,423.5,6.3,439.3,7.2,460.9,6.1,459.6,6.7,435.7,6.1,483.9,5.6,497.1,6.2,523.4,5.5,526.0,5.3,536.9,5.0,552.0,4.7,574.7,4.6,568.2,5.5,532.6,5.1,551.0,4.7,546.4,5.3,561.6,4.4
E09000021,Kingston upon Thames,292.6,7.7,336.9,8.0,332.0,6.7,345.5,8.9,351.2,8.3,376.7,8.7,409.2,7.2,441.2,8.4,415.7,8.6,421.2,8.3,486.2,7.7,420.2,8.7,459.1,8.7,465.9,8.8,482.0,10.0,494.3,8.8,511.1,6.2,501.8,6.0,517.4,6.5,536.6,4.6,519.7,5.1
E09000022,Lambeth,348.3,5.5,381.5,5.9,386.1,4.9,407.5,4.5,421.5,4.7,438.4,5.6,467.7,5.0,469.4,4.8,470.7,5.3,518.5,4.7,503.5,6.6,531.3,6.0,575.3,4.5,597.0,5.3,606.0,5.1,623.9,4.0,596.9,4.5,636.2,4.0,623.0,3.7,604.6,3.9,648.4,4.0
E09000023,Lewisham,344.6,8.6,388.3,8.4,393.6,8.1,415.9,10.0,448.7,9.3,431.6,11.0,478.5,9.1,480.3,8.9,505.5,9.0,513.2,7.7,519.4,10.0,535.7,12.0,608.2,8.5,530.7,9.8,551.9,6.8,543.8,8.4,596.8,8.5,590.5,8.0,551.1,11.0,574.7,6.5,538.5,7.7
E09000024,Merton,268.6,8.1,307.9,8.9,346.0,8.5,299.6,9.8,355.3,9.0,394.9,7.7,373.6,8.0,404.6,8.5,432.0,6.9,424.7,6.6,440.5,9.7,411.5,9.2,472.3,6.8,490.3,6.6,506.5,6.6,518.2,6.5,511.3,6.0,521.4,5.9,484.2,7.6,538.9,5.7,540.4,4.7
E09000025,Newham,335.6,11.0,339.4,8.1,329.5,7.9,336.8,8.6,353.7,11.0,372.3,8.4,379.4,13.0,427.2,11.0,420.7,9.2,399.3,14.0,463.3,13.0,461.6,9.1,498.5,7.3,534.4,7.5,513.8,7.4,539.8,6.0,534.5,6.7,524.4,7.2,506.8,7.8,479.4,8.7,480.4,7.5
E09000026,Redbridge,324.9,13.0,304.7,14.0,342.8,12.0,388.5,11.0,361.4,10.0,395.7,9.2,417.1,9.4,392.6,12.0,479.0,9.3,458.0,9.4,458.3,9.9,476.3,11.0,526.3,8.8,486.8,10.0,522.6,9.3,495.7,9.7,489.2,10.0,486.2,7.2,468.0,9.2,503.5,6.4,394.3,11.0
