,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000017,Hillingdon,417.4,3.5,444.8,2.7,442.9,4.1,464.2,2.9,479.8,3.1,474.8,4.0,502.4,3.4,532.2,3.9,550.3,4.1,523.4,3.3,573.4,2.7,593.9,3.2,604.7,2.7,631.7,2.6,624.1,3.5,614.6,3.8,654.5,3.4,636.4,3.6,635.4,3.0,615.2,3.7,645.5,3.7
E09000018,Hounslow,383.1,3.7,386.1,4.1,402.1,4.0,432.0,3.9,452.7,4.3,485.8,4.0,495.2,2.9,506.7,4.3,519.8,3.3,505.5,4.4,547.9,4.4,537.1,4.3,589.7,4.0,594.1,3.2,618.4,3.8,582.4,3.8,576.7,4.3,630.6,4.0,660.2,3.9,683.8,4.1,651.5,4.3
E09000019,Islington,425.6,3.5,431.7,3.7,480.7,3.3,504.1,2.7,537.4,3.6,618.8,3.6,616.3,3.2,559.3,3.0,581.5,3.3,622.1,3.2,637.4,3.1,671.1,3.6,682.8,2.9,651.6,2.6,679.6,2.7,685.6,2.7,700.7,2.7,670.8,2.5,677.8,2.3,738.5,2.8,747.4,2.9
E09000020,Kensington and Chelsea,354.8,4.7,387.2,5.6,395.2,5.6,438.3,5.2,453.9,4.5,479.9,4.8,496.7,4.6,488.8,5.2,460.0,5.6,486.9,4.5,519.9,5.4,541.0,5.0,537.5,4.5,564.7,3.8,560.0,4.2,581.6,4.1,560.2,4.5,542.7,4.0,575.1,3.4,556.6,4.2,620.8,4.7
E09000021,Kingston upon Thames,357.2,8.3,383.6,6.4,362.1,5.3,396.1,7.0,409.7,6.0,421.8,5.8,453.0,5.5,454.6,5.9,456.0,6.4,498.3,6.4,498.8,4.7,493.7,6.1,517.6,5.2,539.1,4.7,538.8,5.3,549.6,4.1,532.5,3.6,549.7,4.0,551.1,3.9,579.5,3.0,586.5,3.8
E09000022,Lambeth,405.5,4.5,434.6,4.0,456.6,3.9,462.5,3.7,472.2,2.7,480.0,3.6,491.5,3.5,522.0,3.4,536.2,3.5,561.4,3.4,567.1,3.7,591.4,3.9,640.4,4.0,651.9,3.4,654.0,3.4,654.8,3.2,644.9,3.6,674.1,3.4,661.0,3.2,636.6,3.2,670.9,3.3
E09000023,Lewisham,351.8,5.7,381.7,6.9,405.0,5.3,416.0,6.6,420.7,6.9,416.7,6.7,468.2,7.0,490.1,6.4,519.1,7.1,541.7,6.1,520.1,7.3,561.2,5.7,588.4,3.6,569.7,5.7,562.0,5.9,567.0,6.2,597.0,5.3,606.0,5.4,599.3,7.1,590.2,5.5,603.1,5.0
E09000024,Merton,333.4,6.1,347.8,4.4,359.9,4.4,369.7,5.4,403.0,5.3,402.9,4.5,411.7,4.4,443.3,5.6,480.8,5.6,465.2,5.1,488.9,5.7,453.6,5.4,504.4,3.8,539.6,4.6,531.0,4.5,530.1,4.3,525.9,4.5,534.0,4.4,536.7,5.1,548.0,5.3,574.9,5.4
E09000025,Newham,369.3,5.4,359.3,4.0,352.3,4.8,386.9,6.4,402.9,6.6,424.3,5.4,442.4,5.7,496.3,5.2,493.5,5.2,519.0,6.4,522.2,5.6,517.6,4.8,588.6,5.5,596.5,4.5,561.9,4.8,569.9,3.9,560.1,4.5,551.0,5.2,552.5,4.7,567.3,6.0,568.3,6.3
E09000026,Redbridge,352.9,7.2,349.7,7.1,366.6,6.4,399.6,6.1,403.6,6.0,438.0,6.8,461.4,6.0,435.1,8.6,504.6,5.4,494.9,7.1,549.8,5.8,572.4,6.4,601.8,5.3,566.7,7.2,578.8,6.8,554.3,7.1,574.4,6.9,551.8,7.6,535.2,7.7,562.5,5.4,553.3,9.5
