Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E12000002,North West,"24,219","25,331","26,018","26,580","27,143","27,927","28,809","28,533","28,877","29,079","28,760","27,857","26,702","26,392","26,306","25,996","26,439","26,928","26,746"
E12000003,Yorkshire and The Humber,"23,577","24,821","25,601","26,067","26,792","27,544","28,450","28,110","28,143","28,609","28,606","27,545","26,649","26,054","26,119","25,725","25,952","26,647","26,258"
E12000004,East Midlands,"23,385","24,607","25,631","26,429","27,049","27,892","28,434","28,463","28,036","28,504","29,164","27,847","26,520","26,417","26,103","25,726","25,755","26,162","25,822"
E12000005,West Midlands,"24,252","25,259","26,282","26,568","26,965","27,992","28,372","28,533","28,441","29,212","28,686","27,516","26,839","26,360","26,533","25,688","26,455","27,064","26,819"
E12000006,East,"25,679","26,972","27,995","28,323","29,316","29,983","30,272","30,500","30,356","30,559","30,532","29,303","28,675","28,046","27,775","27,596","28,121","28,645","28,460"
E12000007,London,"32,080","34,324","35,333","36,576","37,417","38,756","39,531","39,369","39,721","40,192","40,350","39,245","38,004","37,420","36,846","36,052","36,365","37,147","37,209"
E12000008,South East,"26,730","28,351","29,297","30,320","31,132","32,013","32,052","32,162","32,276","32,800","32,877","31,755","30,806","30,224","29,662","29,438","29,904","30,502","30,219"
E12000009,South West,"23,863","25,309","25,875","26,579","27,257","27,896","28,150","28,293","28,595","28,966","28,946","27,824","26,856","26,368","26,443","26,328","26,731","27,084","27,123"
,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,-,-,-,-,-,"42,246","42,637","43,231","43,419","43,819","44,603","43,255","41,821","41,005","40,095","39,340","39,970","40,724",40675
E13000002,Outer London,-,-,-,-,-,"33,701","34,628","34,238","34,667","35,041","34,825","33,694","32,483","31,519","31,582","30,872","31,296","31,855",31298
,,,,,,,,,,,,,,,,,,,,
E92000001,England,"25,592","27,096","28,021","28,614","29,301","30,220","30,797","30,775","30,885","31,294","31,290","30,326","29,267","28,772","28,674","28,283","28,678","29,265","29,079"
K02000001,United Kingdom,"25,398","26,728","27,636","28,158","28,789","29,732","30,278","30,306","30,333","30,824","30,899","29,884","28,832","28,397","28,296","28,006","28,446","28,956","28,758"
K03000001,Great Britain,"25,488","26,823","27,716","28,240","28,892","29,795","30,387","30,406","30,464","30,961","31,017","30,020","28,955","28,470","28,394","28,090","28,515","29,043","28,866"
K04000001,England and Wales,"25,642","26,944","27,883","28,415","29,109","30,039","30,626","30,561","30,601","31,079","31,128","30,108","29,048","28,570","28,462","28,115","28,513","29,090","28,933"
N92000002,Northern Ireland,"22,537","23,539","24,563","25,324","25,215","26,451","26,537","26,897","26,411","27,097","27,566","25,857","25,450","25,685","25,091","25,202","26,493","26,679","25,999"
S92000003,Scotland,"24,130","25,567","26,078","26,487","26,983","27,767","28,193","29,017","29,141","29,526","29,925","29,102","27,944","27,655","27,749","27,823","28,520","28,679","28,354"
W92000004,Wales,"23,478","24,330","25,248","25,136","26,071","27,075","27,296","26,964","26,627","26,739","27,299","26,762","25,851","25,334","25,250","25,163","25,617","26,127","26,024"
